Area,Item,Year,Production_tonnes,Area_ha,Yield_t_per_ha
Armenia,Apples,2013,111946.0,9715.0,11.52300566134843
Armenia,Apples,2014,132627.0,9976.0,13.294607056936648
Armenia,Apples,2015,126995.0,10447.0,12.156121374557289
Armenia,Apples,2016,62574.0,10311.0,6.068664533022985
Armenia,Apples,2017,116051.0,10617.0,10.930677215786003
Armenia,Apples,2018,109939.0,10519.0,10.451468770795703
Armenia,Apples,2019,81674.0,10069.0,8.111431125235873
Armenia,Apples,2020,84675.6,10170.0,8.326017699115045
Armenia,Apples,2021,87913.6,10271.0,8.55940025313991
Armenia,Apples,2022,87541.5,10235.0,8.553150952613581
Armenia,Apples,2023,94825.2,10457.0,9.068107487807211
Armenia,Apricots,2013,89019.0,8890.0,10.013385826771653
Armenia,Apricots,2014,41710.0,9027.0,4.620582696355378
Armenia,Apricots,2015,116328.0,9242.0,12.586885955420904
Armenia,Apricots,2016,62054.0,9531.0,6.510754380442766
Armenia,Apricots,2017,87320.0,10507.0,8.310650042828591
Armenia,Apricots,2018,104035.0,10644.0,9.774051108605788
Armenia,Apricots,2019,68113.0,10363.0,6.572710605037152
Armenia,Apricots,2020,53191.0,10551.0,5.041323097336745
Armenia,Apricots,2021,86889.0,10923.0,7.954682779456193
Armenia,Apricots,2022,113572.3,11487.0,9.887028815182381
Armenia,Apricots,2023,114494.3,11407.0,10.03719645831507
Armenia,Barley,2013,188783.0,64418.0,2.9305939333726596
Armenia,Barley,2014,190120.0,63339.0,3.001626170290027
Armenia,Barley,2015,187296.0,68273.0,2.743339240988385
Armenia,Barley,2016,197057.0,71312.0,2.763307718196096
Armenia,Barley,2017,92930.0,57644.0,1.6121365623482062
Armenia,Barley,2018,124167.0,52071.0,2.3845710664285305
Armenia,Barley,2019,68333.0,49722.0,1.3743011141949237
Armenia,Barley,2020,89985.8,50071.0,1.7971640270815443
Armenia,Barley,2021,37510.7,47859.0,0.7837752564825842
Armenia,Barley,2022,75429.0,41891.0,1.8006015611945287
Armenia,Barley,2023,83648.5,39848.0,2.0991894197952217
Armenia,"Beans, dry",2013,4932.0,1875.0,2.6304
Armenia,"Beans, dry",2014,5080.0,1808.0,2.809734513274336
Armenia,"Beans, dry",2015,5048.4,1869.0,2.7011235955056176
Armenia,"Beans, dry",2016,4749.0,1956.0,2.4279141104294477
Armenia,"Beans, dry",2017,3672.0,1665.0,2.2054054054054055
Armenia,"Beans, dry",2018,2531.0,1263.0,2.0039588281868568
Armenia,"Beans, dry",2019,2731.0,1236.0,2.209546925566343
Armenia,"Beans, dry",2020,2817.5,1222.0,2.305646481178396
Armenia,"Beans, dry",2021,2715.0,1095.0,2.4794520547945207
Armenia,"Beans, dry",2022,2160.8,1000.0,2.1608
Armenia,"Beans, dry",2023,2150.9,940.0,2.288191489361702
Armenia,Cabbages,2021,56481.0,1902.0,29.69558359621451
Armenia,Carrots and turnips,2013,23954.0,970.0,24.694845360824743
Armenia,Carrots and turnips,2014,25411.0,938.0,27.090618336886994
Armenia,Carrots and turnips,2015,24597.0,913.0,26.940854326396494
Armenia,Carrots and turnips,2016,24228.0,966.0,25.080745341614907
Armenia,Carrots and turnips,2017,18848.0,863.0,21.840092699884124
Armenia,Carrots and turnips,2018,16681.0,774.0,21.551679586563306
Armenia,Carrots and turnips,2019,13170.0,761.0,17.306176084099867
Armenia,Carrots and turnips,2020,13708.8,804.0,17.050746268656717
Armenia,Carrots and turnips,2021,12281.1,787.0,15.604955527318934
Armenia,Carrots and turnips,2022,15756.4,815.0,19.333006134969324
Armenia,Carrots and turnips,2023,16662.2,739.0,22.546955345060894
Armenia,Cereals n.e.c.,2013,16847.0,7500.0,2.2462666666666666
Armenia,Cereals n.e.c.,2014,18268.0,6988.0,2.614195764167144
Armenia,Cereals n.e.c.,2015,15359.6,7488.0,2.0512286324786326
Armenia,Cereals n.e.c.,2016,21117.0,8671.0,2.4353592434551956
Armenia,Cereals n.e.c.,2017,12076.0,6599.0,1.829974238520988
Armenia,Cereals n.e.c.,2018,9366.0,5043.0,1.8572278405710887
Armenia,Cereals n.e.c.,2019,5775.0,4486.0,1.287338386090058
Armenia,Cereals n.e.c.,2020,7143.7,4521.0,1.5801150188011501
Armenia,Cereals n.e.c.,2021,4567.8,4693.0,0.973321968889836
Armenia,Cereals n.e.c.,2022,7114.1,4176.0,1.7035680076628352
Armenia,Cereals n.e.c.,2023,8537.7,4613.0,1.8507912421417734
Armenia,Cherries,2013,10212.0,1364.0,7.486803519061583
Armenia,Cherries,2014,9090.0,1442.0,6.30374479889043
Armenia,Cherries,2015,14366.0,1461.0,9.832991101984941
Armenia,Cherries,2016,12059.0,1430.0,8.432867132867132
Armenia,Cherries,2017,8414.0,1701.0,4.946502057613169
Armenia,Cherries,2018,12517.0,1659.0,7.544906570223026
Armenia,Cherries,2019,12813.0,1687.0,7.595139300533491
Armenia,Cherries,2020,10927.0,1703.0,6.4163241338813854
Armenia,Cherries,2021,9609.6,1743.0,5.513253012048193
Armenia,Cherries,2022,11821.4,1761.0,6.712890403180011
Armenia,Cherries,2023,12010.8,1786.0,6.724972004479283
Armenia,"Chick peas, dry",2019,100.0,100.0,1.0
Armenia,"Chick peas, dry",2020,100.0,100.0,1.0
Armenia,"Chick peas, dry",2021,100.0,100.0,1.0
Armenia,"Chick peas, dry",2022,100.0,99.0,1.0101010101010102
Armenia,"Chick peas, dry",2023,100.0,98.0,1.0204081632653061
Armenia,Cucumbers and gherkins,2017,74336.0,2569.0,28.935772674192293
Armenia,Cucumbers and gherkins,2018,50599.0,1751.0,28.897201599086237
Armenia,Cucumbers and gherkins,2019,44141.0,1542.0,28.62581063553826
Armenia,Cucumbers and gherkins,2020,43230.7,1569.0,27.553027405991074
Armenia,Figs,2013,1789.0,228.0,7.8464912280701755
Armenia,Figs,2014,927.0,226.0,4.101769911504425
Armenia,Figs,2015,1424.0,231.0,6.1645021645021645
Armenia,Figs,2016,1489.0,217.0,6.861751152073733
Armenia,Figs,2017,909.0,231.0,3.935064935064935
Armenia,Figs,2018,1227.0,239.0,5.133891213389122
Armenia,Figs,2019,1234.0,237.0,5.206751054852321
Armenia,Figs,2020,1713.2,242.0,7.079338842975207
Armenia,Figs,2021,1601.8,241.0,6.646473029045643
Armenia,Figs,2022,1631.3,261.0,6.250191570881226
Armenia,Figs,2023,2095.3,263.0,7.966920152091255
Armenia,Grapes,2013,240816.0,16065.0,14.990102707749767
Armenia,Grapes,2014,261325.0,16323.0,16.009618329963853
Armenia,Grapes,2015,309181.0,16389.0,18.865153456586736
Armenia,Grapes,2016,178752.0,16231.0,11.012999815168504
Armenia,Grapes,2017,209954.0,14846.0,14.142125825138084
Armenia,Grapes,2018,179668.0,14949.0,12.018730349856177
Armenia,Grapes,2019,217524.0,14890.0,14.608730691739423
Armenia,Grapes,2020,283224.1,14951.0,18.943488729850845
Armenia,Grapes,2021,237058.8,15005.0,15.798653782072641
Armenia,Grapes,2022,225815.8,15116.0,14.938859486636675
Armenia,Grapes,2023,213425.5,14316.0,14.90817965912266
Armenia,Green garlic,2013,12990.0,1033.0,12.575024201355276
Armenia,Green garlic,2014,12780.0,992.0,12.883064516129032
Armenia,Green garlic,2015,13244.0,987.0,13.418439716312056
Armenia,Green garlic,2016,14207.0,1049.0,13.543374642516683
Armenia,Green garlic,2017,12610.0,988.0,12.763157894736842
Armenia,Green garlic,2018,10490.0,985.0,10.649746192893401
Armenia,Green garlic,2019,10081.0,1066.0,9.456848030018762
Armenia,Green garlic,2020,8632.8,949.0,9.096733403582718
Armenia,Green garlic,2021,9116.4,905.0,10.073370165745857
Armenia,Green garlic,2022,8294.9,856.0,9.690303738317757
Armenia,Green garlic,2023,8319.4,737.0,11.28819538670285
Armenia,"Hazelnuts, in shell",2013,238.0,142.0,1.676056338028169
Armenia,"Hazelnuts, in shell",2014,142.0,144.0,0.9861111111111112
