feature,importance_rmse,std
Yield_t_per_ha,7.317090740751684,0.9715215921420329
Avg_Yield_Last3yrs,3.147911791652948,0.4154061728447953
Avg_Production_Last3yrs,0.38214167321161246,0.1301731028538137
Production_tonnes,0.3600511422836291,0.12307141723085573
Crop_Avg_Yield,0.33996319617958637,0.08945450711125456
Country_Avg_Yield,0.16512180744379534,0.06922205808670238
Area_ha,0.05255651872603574,0.04547097789532997
Item,0.03665048300573354,0.07452568872558206
Area_Growth_Rate,0.006942936736973126,0.005547763231554574
Production_Growth_Rate,0.001368489375863291,0.0008390180826204115
Area,0.0,0.07478744691811737
Year,0.0,0.0
Yield_Growth_Rate,0.0,0.012197568386370695
